manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/S0140-6736	doi:10.1016/S0140-6736	doi:10.1016/s0140-6736	12Yo2Wqzk
doi:10.1093/gerona/glu089	doi:10.1093/gerona/glu089	doi:10.1093/gerona/glu089	10HT86MWE
